# kdata file
# Format: Name, Sweetness, Sourness, Nuttiness, Texture
Good Ivan's Refreshingly Semisweet Nut Fudge,0.52,0.29,0.82,0.09
Hearsay Sour Dark Chocolate Wafers,0.51,0.93,0.04,0.53
Good Ivan's Tart Semisweet Chocolate Coated Mints,0.62,0.73,0.6,0.54
Good Ivan's Cheese Almond Clusters,0.04,0.49,0.99,0.93
Nastly Tangy Honey Peanut Mints,0.83,0.72,0.89,0.59
Billy Bonker's Tart Sinful Spearmint Bar,0.71,1,0.26,0.58
Hearsay Salted Peanut Candy Sticks,0.02,0.53,0.82,0.72
Billy Bonker's Salted Peanut-Butter Fudge,0.14,0.7,0.62,0.01
Hearsay Refreshingly Bittersweet Almond Lollipops,0.32,0.1,0.74,0.71
Nastly Tangy Semisweet Peanut-Butter Fudge,0.38,0.81,0.44,0.16
Hearsay Cool Honey Almond Nonpariels,0.85,0.13,0.85,0.49
Hearsay Salted Nut Clusters,0.23,0.59,0.71,0.91
Hearsay Luxurious Sinful Almond Velvet,0.83,0.27,0.9,0.2
Nastly Bitter Peanut-Butter Chews,0.19,0.66,0.52,0.23
Billy Bonker's Cool Sinful Almond Fudge,0.83,0.07,0.99,0.29
Billy Bonker's Refreshingly Cheese Chocolate Coated Mints,0,0.29,0.69,0.52
Billy Bonker's Honey Chocolate Coated Nonpariels,0.88,0.62,0.66,0.34
Good Ivan's Semisweet Wintergreen Velvet,0.37,0.52,0.07,0.22
Billy Bonker's Cool Bittersweet Nugat-Filled Wafers,0.63,0.07,0.47,0.5
Billy Bonker's Sour Bittersweet Nugat-Filled Nonpariels,0.68,0.83,0.34,0.34
Billy Bonker's Sour Honey Spearmint Candy Sticks,0.84,0.91,0.16,0.79
Good Ivan's Tangy Semisweet Spearmint Wafers,0.66,0.83,0.04,0.66
Nastly Salted Almond Fudge,0.02,0.46,0.92,0.08
Nastly Salted Peanut-Butter Nonpariels,0.27,0.68,0.32,0.44
Billy Bonker's Sour Salted Peanut-Butter Wafers,0.04,0.9,0.47,0.33
Billy Bonker's Tangy Semisweet Chocolate Coated Clusters,0.61,0.74,0.62,0.71
Good Ivan's Sour Indulgent Peanut-Butter Candy Sticks,0.71,0.92,0.31,0.76
Nastly Honey Spearmint Clusters,0.73,0.62,0.13,0.89
Billy Bonker's Luxurious Sinful Nugat-Filled Nonpariels,0.77,0.17,0.33,0.68
Good Ivan's Tangy Indulgent Chocolate Coated Chews,0.9,0.73,0.54,0.11
Nastly Salted Cashew Bar,0.16,0.41,0.71,0.46
Good Ivan's Tangy Bittersweet Cashew Mints,0.68,0.75,0.73,0.62
Hearsay Cool Indulgent Fruit Bar,0.72,0.07,0.06,0.47
Billy Bonker's Sinful Nugat-Filled Wafers,0.96,0.32,0.56,0.67
Good Ivan's Semisweet Caramel Velvet,0.67,0.38,0.24,0
Nastly Salted Walnut Bar,0.26,0.31,0.82,0.7
Billy Bonker's Cool Semisweet Peanut Clusters,0.69,0.06,0.9,0.97
Hearsay Honey Peanut-Butter Chews,0.95,0.7,0.33,0.27
Nastly Semisweet Spearmint Lollipops,0.64,0.63,0.03,0.9
Hearsay Sinful Almond Nonpariels,0.88,0.32,0.78,0.36
Hearsay Honey Fruit Velvet,0.93,0.48,0.14,0.17
Nastly Salted Nut Nonpariels,0.21,0.32,0.92,0.6
Good Ivan's Tangy Semisweet Fruit Wafers,0.6,0.95,0.02,0.46
Billy Bonker's Indulgent Chocolate Coated Jawbreakers,0.83,0.48,0.69,0.99
Good Ivan's Indulgent Spearmint Nonpariels,0.75,0.39,0.02,0.44
Hearsay Tart Honey Peanut-Butter Wafers,0.94,0.78,0.67,0.35
Nastly Salted Chocolate Coated Nonpariels,0.19,0.45,0.59,0.45
Nastly Bitter Nut Mints,0.27,0.51,0.72,0.6
Billy Bonker's Tangy Semisweet Nugat-Filled Candy Sticks,0.32,0.73,0.66,0.89
Nastly Luxurious Semisweet Chocolate Coated Bar,0.57,0.19,0.68,0.58
Good Ivan's Cool Bittersweet Nugat-Filled Bar,0.47,0.21,0.42,0.41
Good Ivan's Indulgent Cashew Nonpariels,0.78,0.64,0.82,0.33
Hearsay Honey Almond Bar,0.8,0.5,0.71,0.55
Billy Bonker's Semisweet Nugat-Filled Velvet,0.45,0.51,0.51,0.07
Nastly Cool Dark Almond Chews,0.39,0.14,0.86,0.2
Nastly Tangy Salted Nugat-Filled Mints,0.14,0.8,0.32,0.37
Nastly Bittersweet Nugat-Filled Jawbreakers,0.65,0.36,0.66,0.88
Billy Bonker's Tangy Bittersweet Nut Wafers,0.63,0.81,0.8,0.53
Hearsay Luxurious Sinful Peanut-Butter Wafers,0.72,0.04,0.6,0.36
Good Ivan's Bittersweet Cashew Jawbreakers,0.69,0.36,0.8,0.82
Nastly Tangy Cheese Peanut-Butter Fudge,0.14,0.9,0.58,0.29
Billy Bonker's Refreshingly Semisweet Peanut Chews,0.34,0.16,0.83,0.29
Billy Bonker's Honey Chocolate Chews,0.86,0.55,0.16,0.01
Nastly Cool Salted Peanut-Butter Wafers,0.03,0.21,0.3,0.32
Nastly Tart Honey Nut Velvet,0.78,0.96,0.78,0
Billy Bonker's Refreshingly Sinful Peanut-Butter Bar,0.79,0.12,0.7,0.48
Good Ivan's Honey Chocolate Coated Candy Sticks,0.86,0.34,0.46,0.88
Nastly Cool Bittersweet Peanut Chews,0.35,0.18,0.71,0.27
Billy Bonker's Salted Cashew Velvet,0.16,0.62,0.88,0.1
Hearsay Bittersweet Nugat-Filled Fudge,0.33,0.45,0.45,0.02
Good Ivan's Tart Semisweet Fruit Bar,0.55,0.97,0.09,0.42
Hearsay Bittersweet Cashew Velvet,0.42,0.3,0.9,0.01
Hearsay Indulgent Chocolate Coated Velvet,0.91,0.45,0.32,0.04
Billy Bonker's Luxurious Semisweet Peanut Bar,0.32,0.29,0.89,0.36
Nastly Salted Nugat-Filled Fudge,0.15,0.64,0.38,0.07
Good Ivan's Salted Wintergreen Velvet,0.15,0.4,0.07,0.07
Nastly Cheese Chocolate Coated Fudge,0.15,0.31,0.33,0.1
Hearsay Tart Sinful Nugat-Filled Mints,0.73,0.91,0.68,0.6
Nastly Cool Dark Cashew Chews,0.34,0.04,0.99,0.27
Good Ivan's Cool Semisweet Almond Velvet,0.49,0.05,0.73,0.24
Nastly Indulgent Peanut-Butter Chews,0.91,0.34,0.33,0.06
Nastly Sinful Fruit Clusters,0.79,0.53,0.29,0.83
Good Ivan's Tart Bitter Caramel Fudge,0.06,0.82,0.17,0.08
Good Ivan's Luxurious Sinful Peanut-Butter Wafers,0.87,0.16,0.46,0.65
Hearsay Tangy Sinful Chocolate Coated Bar,0.98,0.75,0.65,0.41
Nastly Luxurious Semisweet Cashew Jawbreakers,0.32,0.25,0.8,0.93
Billy Bonker's Bittersweet Wintergreen Bar,0.63,0.7,0.2,0.46
Nastly Cool Honey Nugat-Filled Wafers,0.91,0.18,0.34,0.69
Hearsay Tart Salted Peanut-Butter Fudge,0.04,0.72,0.51,0.27
Billy Bonker's Refreshingly Sinful Peanut-Butter Wafers,0.79,0.07,0.33,0.52
Good Ivan's Refreshingly Semisweet Spearmint Wafers,0.46,0.26,0.01,0.7
Billy Bonker's Tart Indulgent Nugat-Filled Fudge,0.71,0.86,0.3,0.01
Good Ivan's Luxurious Dark Wintergreen Wafers,0.37,0.13,0.09,0.66
Good Ivan's Luxurious Bittersweet Walnut Chews,0.68,0.15,0.97,0.18
