# kdata file
# Format: Name, Sweetness, Sourness, Nuttiness, Texture
Nastly Refreshingly Dark Almond Chews,0.65,0.09,0.98,0.09
Nastly Sour Bitter Peanut Chews,0.01,0.77,0.71,0.11
Good Ivan's Cool Dark Nugat-Filled Wafers,0.42,0.02,0.68,0.65
Billy Bonker's Cheese Cashew Candy Sticks,0.05,0.64,0.88,0.81
Billy Bonker's Tangy Semisweet Chocolate Coated Nonpariels,0.66,0.85,0.57,0.67
Nastly Bittersweet Nut Mints,0.66,0.63,0.95,0.31
Hearsay Sour Dark Chocolate Coated Wafers,0.69,0.95,0.4,0.51
Billy Bonker's Tangy Indulgent Caramel Bar,0.97,0.86,0.08,0.7
Good Ivan's Tart Cheese Chocolate Coated Chews,0.25,0.78,0.41,0.07
Good Ivan's Bitter Nut Candy Sticks,0.21,0.31,0.82,0.76
Good Ivan's Dark Caramel Chews,0.63,0.6,0.21,0.18
Good Ivan's Salted Walnut Chews,0.1,0.64,0.92,0.13
Nastly Sour Honey Chocolate Wafers,0.73,0.74,0.06,0.53
Nastly Tangy Honey Peanut-Butter Lollipops,0.98,0.98,0.68,0.99
Nastly Bittersweet Nugat-Filled Lollipops,0.39,0.39,0.69,0.87
Nastly Tart Bittersweet Peanut-Butter Bar,0.54,0.76,0.33,0.46
Good Ivan's Bittersweet Wintergreen Wafers,0.67,0.67,0.15,0.33
Billy Bonker's Refreshingly Dark Almond Bar,0.3,0.08,0.73,0.6
Nastly Dark Peanut-Butter Fudge,0.58,0.36,0.65,0.18
Good Ivan's Luxurious Bittersweet Chocolate Coated Bar,0.61,0.19,0.56,0.43
Hearsay Luxurious Dark Walnut Jawbreakers,0.38,0.07,0.98,0.83
Billy Bonker's Tart Honey Peanut Bar,0.71,0.78,0.78,0.44
Billy Bonker's Semisweet Chocolate Coated Jawbreakers,0.33,0.44,0.66,0.81
Billy Bonker's Refreshingly Bittersweet Chocolate Fudge,0.35,0.24,0.29,0.06
Billy Bonker's Bitter Nugat-Filled Nonpariels,0.03,0.63,0.55,0.33
Nastly Cheese Walnut Clusters,0.17,0.52,0.91,0.94
Nastly Honey Nugat-Filled Mints,0.8,0.38,0.32,0.3
Good Ivan's Tangy Dark Caramel Wafers,0.5,0.78,0.03,0.45
Hearsay Salted Nugat-Filled Wafers,0.28,0.68,0.63,0.57
Nastly Semisweet Wintergreen Jawbreakers,0.39,0.69,0.18,0.85
Hearsay Bittersweet Almond Mints,0.62,0.61,0.75,0.32
Hearsay Refreshingly Semisweet Cashew Jawbreakers,0.65,0.19,0.74,0.84
Hearsay Sour Honey Peanut Jawbreakers,0.79,1,0.71,0.73
Hearsay Refreshingly Semisweet Peanut-Butter Velvet,0.58,0.23,0.54,0.07
Good Ivan's Luxurious Semisweet Almond Clusters,0.67,0.21,0.72,0.91
Billy Bonker's Sour Dark Almond Nonpariels,0.36,0.78,0.92,0.55
Billy Bonker's Tart Sinful Fruit Jawbreakers,0.95,0.87,0,1
Billy Bonker's Tart Dark Wintergreen Wafers,0.52,0.96,0.25,0.41
Hearsay Honey Chocolate Coated Velvet,0.78,0.45,0.35,0.02
Nastly Sour Cheese Chocolate Coated Mints,0.28,0.96,0.59,0.34
Nastly Luxurious Bittersweet Peanut Jawbreakers,0.67,0.14,0.9,0.73
Billy Bonker's Dark Peanut-Butter Nonpariels,0.7,0.32,0.36,0.54
Nastly Tangy Semisweet Peanut Bar,0.62,0.99,0.93,0.43
Hearsay Indulgent Chocolate Coated Fudge,0.89,0.44,0.3,0.16
Nastly Tangy Sinful Fruit Clusters,0.91,0.86,0.13,0.9
Hearsay Semisweet Nut Nonpariels,0.64,0.62,0.98,0.37
Billy Bonker's Tangy Salted Peanut-Butter Fudge,0.08,0.93,0.44,0.12
Good Ivan's Semisweet Spearmint Lollipops,0.54,0.59,0.08,0.96
Billy Bonker's Luxurious Bittersweet Cashew Bar,0.48,0.19,0.8,0.33
Good Ivan's Tart Salted Chocolate Coated Fudge,0.27,0.86,0.4,0.25
Hearsay Sour Semisweet Spearmint Mints,0.5,0.71,0.23,0.39
Billy Bonker's Bittersweet Nut Fudge,0.52,0.36,0.86,0.11
Good Ivan's Refreshingly Bittersweet Spearmint Fudge,0.7,0.23,0.11,0.09
Billy Bonker's Sour Cheese Chocolate Coated Wafers,0.1,0.91,0.38,0.53
Nastly Dark Chocolate Coated Candy Sticks,0.56,0.6,0.61,0.95
Billy Bonker's Luxurious Honey Nugat-Filled Bar,0.79,0.29,0.36,0.43
Good Ivan's Salted Nugat-Filled Nonpariels,0.02,0.31,0.68,0.37
Hearsay Sour Salted Chocolate Coated Fudge,0.15,0.95,0.32,0.03
Hearsay Indulgent Wintergreen Velvet,0.74,0.54,0.08,0.05
Billy Bonker's Tart Semisweet Caramel Wafers,0.43,0.79,0.07,0.7
Billy Bonker's Luxurious Dark Chocolate Candy Sticks,0.43,0.15,0.03,0.77
Hearsay Refreshingly Dark Nugat-Filled Velvet,0.37,0.19,0.6,0.17
Hearsay Bittersweet Nugat-Filled Nonpariels,0.49,0.7,0.32,0.63
Hearsay Dark Caramel Fudge,0.67,0.46,0.2,0.1
Good Ivan's Tart Sinful Walnut Mints,0.8,0.9,0.77,0.47
Hearsay Sour Cheese Peanut-Butter Bar,0.27,0.81,0.32,0.38
Good Ivan's Indulgent Cashew Velvet,0.79,0.57,0.81,0.08
Good Ivan's Sour Honey Nut Mints,0.92,0.85,0.97,0.69
Hearsay Sour Honey Peanut-Butter Bar,1,0.99,0.7,0.46
Hearsay Luxurious Sinful Peanut-Butter Nonpariels,0.71,0.1,0.38,0.67
Hearsay Indulgent Peanut-Butter Bar,0.8,0.4,0.32,0.53
Hearsay Luxurious Semisweet Peanut-Butter Wafers,0.32,0.12,0.63,0.68
Nastly Tart Semisweet Wintergreen Clusters,0.69,0.71,0.12,0.87
Good Ivan's Cool Salted Walnut Bar,0.2,0.21,0.9,0.6
Hearsay Honey Spearmint Mints,0.94,0.32,0.25,0.35
Billy Bonker's Bitter Cashew Nonpariels,0.18,0.5,0.95,0.67
Hearsay Sour Honey Walnut Bar,0.87,0.93,0.82,0.54
