# kdata file
# Format: x-value, y-value, z-value
0.2114, 0.8663, 0.7501
0.7515, 0.8349, 0.0987
0.7586, 0.1905, 0.9005
0.7126, 0.1311, 0.8385
0.7249, 0.2441, 0.8603
0.3905, 0.147, 0.6827
0.6954, 0.8331, 0.1312
0.4542, 0.1591, 0.4002
0.3025, 0.8483, 0.8547
0.7129, 0.7954, 0.498
0.4183, 0.6595, 0.5148
0.8032, 0.8735, 0.0174
0.765, 0.1621, 0.8242
0.7556, 0.7208, 0.129
0.3133, 0.8666, 0.634
0.6251, 0.8521, 0.4941
0.6817, 0.1948, 0.8809
0.3268, 0.8767, 0.8363
0.7376, 0.1927, 0.9557
0.4119, 0.1417, 0.6029
0.7353, 0.2062, 0.8632
0.4515, 0.1481, 0.6772
0.3305, 0.1713, 0.4435
0.3844, 0.6098, 0.554
0.3851, 0.1678, 0.4604
0.759, 0.7973, 0.5121
0.3043, 0.8801, 0.8514
0.7598, 0.5327, 0.1714
0.4032, 0.5736, 0.4836
0.7098, 0.1167, 0.849
0.7293, 0.7311, 0.4728
0.4133, 0.0791, 0.4435
0.7055, 0.8237, 0.5438
0.7254, 0.8851, 0.495
0.6971, 0.8626, 0.4984
0.3946, 0.6505, 0.5361
0.342, 0.7793, 0.8895
0.8347, 0.5461, 0.2008
0.2959, 0.8478, 0.7129
0.2445, 0.9049, 0.7256
0.774, 0.2318, 0.9378
0.296, 0.7848, 0.7949
0.768, 0.5457, 0.1725
0.8431, 0.4968, 0.1786
0.6808, 0.0806, 0.8389
0.6599, 0.1062, 0.8938
0.3783, 0.6511, 0.5514
0.4396, 0.1978, 0.6503
0.1614, 0.86, 0.7269
0.3142, 0.7971, 0.8068
0.3667, 0.824, 0.8437
0.67, 0.8113, 0.4552
0.6802, 0.8373, 0.501
0.3006, 0.9021, 0.6721
0.3268, 0.1812, 0.6785
0.7691, 0.0724, 0.8647
0.7119, 0.1721, 0.8837
0.7663, 0.4935, 0.1957
0.3652, 0.1874, 0.3829
0.883, 0.5319, 0.196
0.4278, 0.1452, 0.4215
0.4186, 0.6341, 0.5138
0.6767, 0.7873, 0.4808
0.3232, 0.8025, 0.8742
0.4497, 0.6524, 0.5263
0.6781, 0.7575, 0.4957
0.4653, 0.1463, 0.7296
0.3005, 0.8497, 0.7136
0.7239, 0.1704, 0.8525
0.7487, 0.2381, 0.8692
0.3537, 0.2236, 0.3803
0.751, 0.5827, 0.3063
0.4072, 0.2447, 0.3596
0.2373, 0.905, 0.6593
0.7273, 0.1372, 0.8714
0.2364, 0.7953, 0.8439
0.266, 0.8468, 0.7936
0.4095, 0.2041, 0.7147
0.8241, 0.803, 0.0922
0.1453, 0.9158, 0.6414
0.8197, 0.4792, 0.1394
0.6705, 0.7711, 0.4599
0.3259, 0.8046, 0.8034
0.4526, 0.1826, 0.7302
0.6907, 0.1755, 0.8121
0.4679, 0.1389, 0.6182
0.418, 0.1759, 0.6376
0.2795, 0.8019, 0.826
0.6735, 0.1938, 0.9328
0.7985, 0.5168, 0.1633
0.4368, 0.6345, 0.5087
