# kdata file
# Format: x-value, y-value, z-value
1.0, 0.2756, 0.7979
0.4997, 0.7212, 0.7975
0.4672, 0.4905, 0.5663
0.8196, 0.2502, 0.8129
0.6425, 0.5347, 0.4531
0.3195, 0.6243, 0.4639
0.8325, 0.8955, 0.658
0.5695, 0.6962, 0.9019
0.3939, 0.6897, 0.6299
0.6152, 0.6004, 0.8295
0.7327, 0.4778, 0.2529
0.3099, 0.4991, 0.7739
0.4391, 0.2167, 0.2587
0.6009, 0.2188, 0.3935
0.5226, 0.7241, 0.6383
0.3633, 0.2632, 0.7548
0.4549, 0.5709, 0.7279
0.4165, 0.7163, 0.5416
0.7961, 0.5408, 0.404
0.175, 0.1389, 0.7577
0.4458, 0.3742, 0.4421
0.2466, 0.4387, 0.8227
0.2911, 0.3266, 0.7371
0.1527, 0.9917, 0.2906
0.241, 0.2715, 0.6716
0.4172, 0.3727, 0.6879
0.4791, 0.3835, 0.5792
0.5102, 0.7153, 0.5868
0.654, 0.6787, 0.6981
0.4972, 0.447, 0.6114
0.4991, 0.597, 0.8313
0.8237, 0.5663, 0.2585
0.6662, 0.211, 0.31
0.1544, 0.9785, 0.2707
0.8276, 0.5467, 0.9134
0.6093, 0.3052, 0.3592
0.5555, 0.3827, 0.1971
0.3938, 0.778, 0.1767
0.6139, 0.2853, 0.2614
0.2481, 0.2816, 0.8218
0.6697, 0.6782, 0.9893
0.5908, 0.1646, 0.3114
0.6421, 0.8389, 0.6192
0.4504, 0.5305, 0.6626
0.4489, 0.3556, 0.2278
0.3996, 0.4061, 0.6362
0.4247, 0.6548, 0.7443
0.8322, 0.1768, 0.8697
0.2913, 0.5442, 0.4348
0.6984, 0.4156, 0.3125
0.6429, 0.7741, 0.5009
0.6029, 0.3361, 0.2822
0.6436, 0.8077, 0.9837
0.5712, 0.7992, 0.8055
0.3867, 0.4595, 0.5569
0.5545, 0.6928, 0.9524
0.3836, 0.6011, 0.7045
0.5991, 0.7581, 0.8414
0.2161, 0.5269, 0.7791
0.5181, 0.7428, 0.5372
0.2611, 0.976, 0.3779
0.5018, 0.259, 0.3462
0.7018, 0.8046, 0.883
0.1484, 0.3556, 0.6211
0.3857, 0.3718, 0.6718
0.7717, 0.3859, 0.2361
0.3954, 0.3965, 0.6482
0.6691, 0.5836, 0.7669
0.7286, 0.4261, 0.3255
0.9155, 0.4016, 0.8324
0.2338, 0.3706, 0.7296
0.8354, 0.4204, 0.3551
0.6942, 0.4647, 0.9707
0.4885, 0.2329, 0.9431
0.448, 0.6265, 0.6605
0.6315, 0.295, 0.3138
0.6441, 0.4375, 0.3671
0.6808, 0.4264, 0.5433
0.3618, 0.5742, 0.7304
0.8233, 0.562, 0.3265
0.4785, 0.6947, 0.6792
0.5437, 0.7458, 0.6933
0.3233, 0.489, 0.7138
0.3774, 0.362, 0.5418
0.7528, 0.8296, 0.5664
0.2292, 0.3752, 0.747
0.796, 0.5701, 0.2856
0.3883, 0.3908, 0.4952
0.9595, 0.5343, 0.9938
0.3408, 0.8226, 0.1673
0.4324, 0.9218, 0.7535
0.5473, 0.3784, 0.3044
0.7079, 0.819, 0.635
0.5219, 0.4642, 0.5357
0.6803, 0.1973, 0.318
0.5765, 0.2914, 0.3465
0.3166, 0.5219, 0.3608
0.3106, 0.461, 0.5232
0.8417, 0.701, 0.9975
0.0963, 0.5579, 0.5192
0.555, 0.4219, 0.3065
0.3068, 0.6131, 0.5367
0.5308, 0.1606, 0.2044
0.596, 0.7311, 0.4052
0.4658, 0.5189, 0.3178
0.8861, 0.2353, 0.8329
0.6846, 0.4906, 0.3518
0.2749, 0.3927, 0.6861
0.6391, 0.637, 0.5446
0.274, 0.3473, 0.5947
0.7699, 0.2125, 0.4414
0.6831, 0.7574, 0.8797
0.6203, 0.2222, 0.2546
0.9161, 0.2904, 0.7273
0.6878, 0.3556, 0.2548
0.8383, 0.0636, 0.9953
0.4756, 0.3471, 0.4815
0.4545, 0.9236, 0.1402
0.7516, 0.6559, 0.748
0.3993, 0.9468, 0.2249
0.6418, 0.4368, 0.3887
0.7611, 0.2493, 0.8808
0.8787, 0.6321, 0.9987
0.4222, 0.4184, 0.734
0.8577, 0.7326, 0.8575
0.6381, 0.4023, 0.1704
0.8429, 0.5781, 0.895
0.6634, 0.4604, 0.3117
0.7523, 0.2411, 0.4286
0.6785, 0.5932, 0.3122
0.2176, 0.885, 0.2495
0.2525, 0.569, 0.3682
0.5105, 0.3431, 0.5281
0.7701, 0.6184, 0.8618
0.6269, 0.5137, 0.7187
0.3095, 0.6215, 0.7291
1.0, 0.5274, 0.8268
0.7181, 0.644, 0.9387
0.3137, 0.7414, 0.2682
0.7005, 0.8588, 0.8417
0.7986, 0.2213, 0.841
0.7972, 0.7372, 0.1982
0.6335, 0.8137, 0.8298
0.8162, 0.7594, 0.8309
0.5458, 0.6683, 0.7244
0.5082, 0.5525, 0.4739
0.3467, 0.8276, 0.164
0.4693, 0.8126, 0.2425
