# kdata file
# Format: Name, Sweetness, Sourness, Nuttiness, Texture
Hearsay Sour Semisweet Chocolate Mints,0.32,0.87,0.14,0.68
Hearsay Refreshingly Dark Walnut Wafers,0.4,0.21,0.78,0.68
Hearsay Tangy Sinful Walnut Nonpariels,0.88,0.84,0.8,0.3
Billy Bonker's Cheese Walnut Nonpariels,0.02,0.67,0.75,0.61
Hearsay Luxurious Bittersweet Nut Clusters,0.54,0.06,0.81,0.98
Good Ivan's Salted Walnut Candy Sticks,0.2,0.54,0.73,0.85
Nastly Sinful Fruit Chews,0.73,0.31,0.15,0.08
Billy Bonker's Sinful Peanut-Butter Bar,0.81,0.69,0.65,0.65
Hearsay Tangy Honey Caramel Candy Sticks,0.87,0.99,0.2,0.8
Good Ivan's Tangy Dark Chocolate Coated Bar,0.62,0.75,0.65,0.43
Billy Bonker's Bitter Cashew Candy Sticks,0.14,0.31,0.86,0.74
Good Ivan's Dark Peanut-Butter Fudge,0.35,0.63,0.65,0.12
Nastly Honey Chocolate Coated Nonpariels,0.77,0.45,0.31,0.31
Nastly Cool Bittersweet Almond Chews,0.39,0.14,0.99,0.24
Hearsay Cheese Chocolate Coated Clusters,0.23,0.32,0.7,0.75
Hearsay Tart Dark Walnut Bar,0.61,0.85,0.81,0.44
Hearsay Sour Indulgent Almond Nonpariels,0.95,0.94,0.98,0.69
Nastly Refreshingly Dark Chocolate Coated Wafers,0.65,0.05,0.39,0.49
Nastly Bitter Peanut-Butter Wafers,0.04,0.69,0.38,0.39
Nastly Cheese Almond Lollipops,0.04,0.52,0.99,0.75
Billy Bonker's Sour Bitter Chocolate Coated Velvet,0.28,0.91,0.63,0.08
Billy Bonker's Cool Sinful Chocolate Coated Mints,0.96,0.09,0.49,0.3
Good Ivan's Cheese Peanut-Butter Bar,0.14,0.55,0.67,0.63
Hearsay Tart Bittersweet Chocolate Coated Fudge,0.38,0.94,0.53,0.07
Billy Bonker's Refreshingly Indulgent Nugat-Filled Bar,0.86,0.03,0.3,0.39
Good Ivan's Luxurious Bittersweet Peanut-Butter Jawbreakers,0.5,0.2,0.69,0.95
Billy Bonker's Luxurious Honey Nugat-Filled Wafers,0.79,0.09,0.41,0.69
Nastly Bittersweet Peanut Jawbreakers,0.4,0.3,0.78,0.74
Hearsay Refreshingly Bittersweet Chocolate Coated Fudge,0.65,0.24,0.63,0.27
Hearsay Salted Chocolate Coated Chews,0.08,0.62,0.32,0.27
Billy Bonker's Tart Bittersweet Nut Nonpariels,0.69,0.82,0.75,0.65
Nastly Dark Peanut Jawbreakers,0.35,0.3,0.94,0.92
Billy Bonker's Tangy Sinful Walnut Bar,0.84,0.89,0.91,0.38
Nastly Tangy Salted Peanut-Butter Nonpariels,0.22,0.88,0.39,0.33
Hearsay Sour Indulgent Peanut-Butter Clusters,0.86,0.86,0.32,0.88
Billy Bonker's Tart Sinful Chocolate Coated Wafers,0.71,0.78,0.64,0.57
Billy Bonker's Indulgent Chocolate Nonpariels,0.8,0.4,0.23,0.33
Hearsay Semisweet Cashew Mints,0.39,0.38,0.85,0.32
Good Ivan's Refreshingly Bittersweet Walnut Velvet,0.38,0.07,0.82,0.01
Hearsay Luxurious Semisweet Nugat-Filled Mints,0.66,0.09,0.69,0.46
Good Ivan's Salted Almond Bar,0.26,0.39,0.95,0.63
