# kdata file
# Format: Name, Sweetness, Sourness, Nuttiness, Texture
Nastly Luxurious Bitter Almond Chews,0,0,0.93,0.18
Nastly Tangy Bittersweet Chocolate Coated Bar,0.6,0.74,0.34,0.38
Hearsay Refreshingly Salted Caramel Nonpariels,0.19,0.19,0.22,0.58
Good Ivan's Refreshingly Dark Peanut-Butter Jawbreakers,0.6,0.12,0.67,0.9
Good Ivan's Tart Bitter Peanut-Butter Fudge,0.19,0.99,0.31,0.08
Good Ivan's Refreshingly Bittersweet Spearmint Candy Sticks,0.49,0.08,0.29,0.94
Nastly Honey Chocolate Jawbreakers,0.74,0.64,0.27,0.88
Billy Bonker's Bittersweet Caramel Velvet,0.47,0.52,0.09,0.17
Good Ivan's Salted Nugat-Filled Bar,0.09,0.66,0.66,0.6
Billy Bonker's Tart Indulgent Cashew Wafers,0.92,0.92,0.75,0.55
Billy Bonker's Tart Dark Caramel Bar,0.69,0.99,0.03,0.62
Billy Bonker's Sour Indulgent Fruit Mints,0.89,0.87,0.09,0.6
Good Ivan's Bitter Chocolate Coated Chews,0.22,0.54,0.45,0.18
Billy Bonker's Luxurious Semisweet Peanut-Butter Nonpariels,0.35,0.23,0.65,0.51
Nastly Honey Peanut-Butter Mints,0.79,0.3,0.55,0.56
Good Ivan's Tangy Bittersweet Nugat-Filled Mints,0.66,0.96,0.4,0.64
Nastly Honey Chocolate Coated Clusters,0.91,0.34,0.55,0.86
Nastly Refreshingly Bittersweet Peanut-Butter Mints,0.68,0.24,0.53,0.67
Good Ivan's Tangy Bittersweet Chocolate Coated Velvet,0.56,0.85,0.32,0.06
Good Ivan's Tangy Cheese Peanut-Butter Chews,0.16,0.96,0.66,0.27
Hearsay Dark Fruit Candy Sticks,0.54,0.39,0.24,0.97
Billy Bonker's Salted Wintergreen Wafers,0.09,0.41,0.23,0.43
Hearsay Tart Bittersweet Wintergreen Chews,0.34,0.94,0.08,0.28
Nastly Refreshingly Honey Nugat-Filled Nonpariels,0.84,0.24,0.69,0.37
Nastly Bittersweet Nut Bar,0.45,0.45,0.84,0.31
Hearsay Refreshingly Semisweet Cashew Bar,0.6,0.19,0.84,0.33
Hearsay Sour Honey Nugat-Filled Lollipops,0.89,0.82,0.37,0.78
Nastly Sour Honey Chocolate Coated Nonpariels,0.99,0.86,0.39,0.37
Good Ivan's Tart Cheese Peanut Velvet,0.07,0.74,0.72,0.16
Billy Bonker's Bittersweet Nut Lollipops,0.64,0.36,0.89,0.86
